timestamp,open,close,high,low,vol
2019-01-14 14:30:00,5.41,5.4207,5.49,5.41,31599
2019-01-14 14:35:00,5.44,5.45,5.48,5.44,11786
2019-01-14 14:40:00,5.46,5.47,5.47,5.46,1100
2019-01-14 14:45:00,5.46,5.49,5.5,5.46,6860
2019-01-14 14:50:00,5.5,5.565,5.59,5.5,14752
2019-01-14 14:55:00,5.56,5.56,5.56,5.54,3700
2019-01-14 15:00:00,5.5601,5.61,5.61,5.5566,11890
2019-01-14 15:05:00,5.6007,5.6116,5.62,5.6,15248
2019-01-14 15:10:00,5.62,5.64,5.675,5.62,34349
2019-01-14 15:15:00,5.635,5.68,5.7,5.63,15410
2019-01-14 15:20:00,5.6854,5.73,5.73,5.68,13441
2019-01-14 15:25:00,5.73,5.6646,5.73,5.6646,17881
2019-01-14 15:30:00,5.66,5.69,5.72,5.66,21073
2019-01-14 15:35:00,5.695,5.72,5.72,5.695,8612
2019-01-14 15:40:00,5.72,5.725,5.74,5.72,9978
2019-01-14 15:45:00,5.72,5.63,5.72,5.625,10154
2019-01-14 15:50:00,5.635,5.601,5.64,5.601,2800
2019-01-14 15:55:00,5.6,5.629,5.63,5.6,5480
2019-01-14 16:00:00,5.63,5.65,5.65,5.625,3941
2019-01-14 16:05:00,5.65,5.601,5.65,5.601,2558
2019-01-14 16:10:00,5.6,5.59,5.6004,5.59,1700
2019-01-14 16:15:00,5.59,5.5658,5.59,5.5658,3385
2019-01-14 16:20:00,5.56,5.57,5.575,5.56,2009
2019-01-14 16:25:00,5.56,5.58,5.58,5.56,500
2019-01-14 16:30:00,5.59,5.605,5.605,5.59,1200
2019-01-14 16:35:00,5.6,5.605,5.61,5.59,800
2019-01-14 16:40:00,5.6,5.6,5.615,5.6,1399
2019-01-14 16:45:00,5.61,5.61,5.61,5.61,200
2019-01-14 16:50:00,5.6,5.58,5.6,5.58,3100
2019-01-14 16:55:00,5.58,5.58,5.58,5.575,1600
2019-01-14 17:00:00,5.58,5.59,5.6,5.58,12795
2019-01-14 17:05:00,5.61,5.63,5.63,5.61,1000
2019-01-14 17:10:00,5.6299,5.64,5.65,5.625,11009
2019-01-14 17:15:00,5.66,5.685,5.69,5.66,6000
2019-01-14 17:20:00,5.6801,5.685,5.685,5.67,2060
2019-01-14 17:25:00,5.68,5.67,5.68,5.67,1200
2019-01-14 17:30:00,5.67,5.6378,5.67,5.62,8246
2019-01-14 17:35:00,5.6341,5.6341,5.6341,5.6341,600
2019-01-14 17:40:00,5.64,5.65,5.65,5.64,1538
2019-01-14 17:45:00,5.66,5.655,5.66,5.6526,1599
2019-01-14 17:50:00,5.655,5.655,5.66,5.65,2900
2019-01-14 17:55:00,5.66,5.66,5.66,5.655,900
2019-01-14 18:00:00,5.66,5.64,5.66,5.64,6980
2019-01-14 18:05:00,5.63,5.6202,5.63,5.62,3494
2019-01-14 18:10:00,5.625,5.64,5.64,5.62,2600
2019-01-14 18:15:00,5.66,5.67,5.67,5.66,2200
2019-01-14 18:20:00,5.66,5.645,5.66,5.64,1900
2019-01-14 18:25:00,5.65,5.659,5.659,5.65,435
2019-01-14 18:30:00,5.66,5.665,5.67,5.66,2600
2019-01-14 18:35:00,5.665,5.67,5.67,5.665,1500
2019-01-14 18:40:00,5.67,5.6639,5.67,5.66,1200
2019-01-14 18:45:00,5.665,5.67,5.67,5.6642,2251
2019-01-14 18:50:00,5.67,5.65,5.67,5.65,2000
2019-01-14 18:55:00,5.65,5.63,5.66,5.63,2090
2019-01-14 19:00:00,5.6257,5.63,5.63,5.6257,1381
2019-01-14 19:05:00,5.64,5.63,5.65,5.63,2066
2019-01-14 19:10:00,5.63,5.61,5.63,5.61,2565
2019-01-14 19:15:00,5.6002,5.6,5.6057,5.6,4508
2019-01-14 19:20:00,5.6,5.5801,5.6,5.57,10400
2019-01-14 19:25:00,5.58,5.561,5.58,5.561,3873
2019-01-14 19:30:00,5.565,5.57,5.58,5.55,8675
2019-01-14 19:35:00,5.57,5.56,5.57,5.56,5932
2019-01-14 19:40:00,5.56,5.58,5.58,5.56,5100
2019-01-14 19:45:00,5.5753,5.56,5.58,5.56,8916
2019-01-14 19:50:00,5.55,5.55,5.55,5.55,200
2019-01-14 19:55:00,5.55,5.54,5.55,5.54,8415
2019-01-14 20:00:00,5.54,5.55,5.55,5.54,4700
2019-01-14 20:05:00,5.54,5.545,5.549,5.54,7550
2019-01-14 20:10:00,5.545,5.55,5.56,5.5429,10346
2019-01-14 20:15:00,5.5532,5.54,5.5532,5.54,1739
2019-01-14 20:20:00,5.54,5.54,5.54,5.5227,5380
2019-01-14 20:25:00,5.53,5.53,5.5344,5.53,2800
2019-01-14 20:30:00,5.53,5.54,5.54,5.52,14100
2019-01-14 20:35:00,5.535,5.535,5.5375,5.525,6329
2019-01-14 20:40:00,5.535,5.51,5.535,5.5,13200
2019-01-14 20:45:00,5.51,5.51,5.5191,5.5,24600
2019-01-14 20:50:00,5.51,5.495,5.52,5.495,27580
2019-01-14 20:55:00,5.495,5.49,5.51,5.49,68068
2019-01-15 14:30:00,5.51,5.57,5.59,5.51,17222
2019-01-15 14:35:00,5.58,5.6139,5.63,5.575,15300
2019-01-15 14:40:00,5.62,5.58,5.62,5.56,17556
2019-01-15 14:45:00,5.5801,5.58,5.6,5.58,7761
2019-01-15 14:50:00,5.57,5.55,5.57,5.53,8680
2019-01-15 14:55:00,5.56,5.57,5.5731,5.56,10499
2019-01-15 15:00:00,5.59,5.6001,5.61,5.58,20919
2019-01-15 15:05:00,5.59,5.6,5.6,5.5809,9607
2019-01-15 15:10:00,5.56,5.5398,5.56,5.53,8601
2019-01-15 15:15:00,5.5314,5.56,5.5627,5.505,3391
2019-01-15 15:20:00,5.56,5.5357,5.56,5.53,4281
2019-01-15 15:25:00,5.55,5.54,5.55,5.54,400
2019-01-15 15:30:00,5.58,5.54,5.58,5.54,2100
2019-01-15 15:35:00,5.55,5.55,5.555,5.55,700
2019-01-15 15:40:00,5.55,5.57,5.57,5.55,900
2019-01-15 15:45:00,5.56,5.54,5.56,5.51,14100
2019-01-15 15:50:00,5.55,5.57,5.575,5.55,17496
2019-01-15 15:55:00,5.58,5.55,5.58,5.55,2660
2019-01-15 16:00:00,5.55,5.57,5.57,5.5499,7238
2019-01-15 16:05:00,5.56,5.57,5.57,5.555,1600
2019-01-15 16:10:00,5.565,5.56,5.565,5.54,6726
2019-01-15 16:15:00,5.545,5.57,5.57,5.545,2900
2019-01-15 16:20:00,5.55,5.5133,5.55,5.5133,9800
2019-01-15 16:25:00,5.52,5.525,5.53,5.51,5161
2019-01-15 16:30:00,5.525,5.465,5.525,5.465,10089
2019-01-15 16:35:00,5.465,5.505,5.5076,5.465,3380
2019-01-15 16:40:00,5.51,5.5,5.51,5.5,300
2019-01-15 16:45:00,5.51,5.49,5.51,5.49,1600
2019-01-15 16:50:00,5.5,5.51,5.51,5.5,900
2019-01-15 16:55:00,5.5199,5.54,5.54,5.515,1700
2019-01-15 17:00:00,5.53,5.545,5.55,5.52,1300
2019-01-15 17:05:00,5.56,5.535,5.56,5.535,960
2019-01-15 17:10:00,5.535,5.53,5.535,5.5199,7150
2019-01-15 17:15:00,5.5134,5.53,5.535,5.51,1500
2019-01-15 17:20:00,5.53,5.5394,5.54,5.53,1150
2019-01-15 17:25:00,5.535,5.52,5.535,5.52,2275
2019-01-15 17:30:00,5.51,5.485,5.51,5.475,5254
2019-01-15 17:35:00,5.49,5.5,5.5,5.48,3650
